filename,label,label_id,length,sr
101_1b1_Al_sc_Meditron_0_normal.wav,normal,0,2172,4000
101_1b1_Al_sc_Meditron_10_normal.wav,normal,0,7200,4000
101_1b1_Al_sc_Meditron_11_normal.wav,normal,0,5828,4000
101_1b1_Al_sc_Meditron_1_normal.wav,normal,0,7484,4000
101_1b1_Al_sc_Meditron_2_normal.wav,normal,0,5772,4000
101_1b1_Al_sc_Meditron_3_normal.wav,normal,0,7600,4000
101_1b1_Al_sc_Meditron_4_normal.wav,normal,0,6912,4000
101_1b1_Al_sc_Meditron_5_normal.wav,normal,0,7032,4000
101_1b1_Al_sc_Meditron_6_normal.wav,normal,0,7484,4000
101_1b1_Al_sc_Meditron_7_normal.wav,normal,0,7544,4000
101_1b1_Al_sc_Meditron_8_normal.wav,normal,0,6740,4000
101_1b1_Al_sc_Meditron_9_normal.wav,normal,0,7944,4000
101_1b1_Pr_sc_Meditron_0_normal.wav,normal,0,4912,4000
101_1b1_Pr_sc_Meditron_10_normal.wav,normal,0,3028,4000
101_1b1_Pr_sc_Meditron_1_normal.wav,normal,0,8632,4000
101_1b1_Pr_sc_Meditron_2_normal.wav,normal,0,8512,4000
101_1b1_Pr_sc_Meditron_3_normal.wav,normal,0,7544,4000
101_1b1_Pr_sc_Meditron_4_normal.wav,normal,0,7140,4000
101_1b1_Pr_sc_Meditron_5_normal.wav,normal,0,8172,4000
101_1b1_Pr_sc_Meditron_6_normal.wav,normal,0,8000,4000
101_1b1_Pr_sc_Meditron_7_normal.wav,normal,0,7660,4000
101_1b1_Pr_sc_Meditron_8_normal.wav,normal,0,8112,4000
101_1b1_Pr_sc_Meditron_9_normal.wav,normal,0,7888,4000
102_1b1_Ar_sc_Meditron_0_normal.wav,normal,0,5888,4000
102_1b1_Ar_sc_Meditron_10_normal.wav,normal,0,6000,4000
102_1b1_Ar_sc_Meditron_11_normal.wav,normal,0,6800,4000
102_1b1_Ar_sc_Meditron_12_normal.wav,normal,0,1484,4000
102_1b1_Ar_sc_Meditron_1_normal.wav,normal,0,6228,4000
102_1b1_Ar_sc_Meditron_2_normal.wav,normal,0,8056,4000
102_1b1_Ar_sc_Meditron_3_normal.wav,normal,0,5316,4000
102_1b1_Ar_sc_Meditron_4_normal.wav,normal,0,5600,4000
102_1b1_Ar_sc_Meditron_5_normal.wav,normal,0,6284,4000
102_1b1_Ar_sc_Meditron_6_normal.wav,normal,0,5716,4000
102_1b1_Ar_sc_Meditron_7_normal.wav,normal,0,8000,4000
102_1b1_Ar_sc_Meditron_8_normal.wav,normal,0,6512,4000
102_1b1_Ar_sc_Meditron_9_normal.wav,normal,0,6916,4000
103_2b2_Ar_mc_LittC2SE_0_wheeze.wav,wheeze,2,11544,4000
103_2b2_Ar_mc_LittC2SE_1_normal.wav,normal,0,13544,4000
103_2b2_Ar_mc_LittC2SE_2_wheeze.wav,wheeze,2,18172,4000
103_2b2_Ar_mc_LittC2SE_3_wheeze.wav,wheeze,2,12284,4000
103_2b2_Ar_mc_LittC2SE_4_wheeze.wav,wheeze,2,10972,4000
103_2b2_Ar_mc_LittC2SE_5_normal.wav,normal,0,11944,4000
104_1b1_Al_sc_Litt3200_0_normal.wav,normal,0,7508,4000
104_1b1_Al_sc_Litt3200_1_normal.wav,normal,0,7509,4000
104_1b1_Al_sc_Litt3200_2_normal.wav,normal,0,9411,4000
104_1b1_Al_sc_Litt3200_3_normal.wav,normal,0,8572,4000
104_1b1_Al_sc_Litt3200_4_normal.wav,normal,0,17472,4000
104_1b1_Al_sc_Litt3200_5_normal.wav,normal,0,12952,4000
104_1b1_Ar_sc_Litt3200_0_wheeze.wav,wheeze,2,2178,4000
104_1b1_Ar_sc_Litt3200_10_normal.wav,normal,0,12512,4000
104_1b1_Ar_sc_Litt3200_11_normal.wav,normal,0,3100,4000
104_1b1_Ar_sc_Litt3200_12_normal.wav,normal,0,6852,4000
104_1b1_Ar_sc_Litt3200_13_normal.wav,normal,0,3680,4000
104_1b1_Ar_sc_Litt3200_1_wheeze.wav,wheeze,2,9673,4000
104_1b1_Ar_sc_Litt3200_2_wheeze.wav,wheeze,2,8583,4000
104_1b1_Ar_sc_Litt3200_3_wheeze.wav,wheeze,2,8434,4000
104_1b1_Ar_sc_Litt3200_4_wheeze.wav,wheeze,2,7708,4000
104_1b1_Ar_sc_Litt3200_5_wheeze.wav,wheeze,2,6124,4000
104_1b1_Ar_sc_Litt3200_6_wheeze.wav,wheeze,2,6784,4000
104_1b1_Ar_sc_Litt3200_7_wheeze.wav,wheeze,2,8040,4000
104_1b1_Ar_sc_Litt3200_8_wheeze.wav,wheeze,2,8616,4000
104_1b1_Ar_sc_Litt3200_9_wheeze.wav,wheeze,2,10052,4000
104_1b1_Ll_sc_Litt3200_0_normal.wav,normal,0,7440,4000
104_1b1_Ll_sc_Litt3200_1_normal.wav,normal,0,7559,4000
104_1b1_Ll_sc_Litt3200_2_normal.wav,normal,0,8060,4000
104_1b1_Ll_sc_Litt3200_3_normal.wav,normal,0,8488,4000
104_1b1_Ll_sc_Litt3200_4_crackle.wav,crackle,1,6270,4000
104_1b1_Ll_sc_Litt3200_5_normal.wav,normal,0,9300,4000
104_1b1_Ll_sc_Litt3200_6_normal.wav,normal,0,23036,4000
104_1b1_Lr_sc_Litt3200_0_normal.wav,normal,0,7561,4000
104_1b1_Lr_sc_Litt3200_1_normal.wav,normal,0,6319,4000
104_1b1_Lr_sc_Litt3200_2_normal.wav,normal,0,8801,4000
104_1b1_Lr_sc_Litt3200_3_normal.wav,normal,0,9654,4000
104_1b1_Lr_sc_Litt3200_4_normal.wav,normal,0,24776,4000
