index,label,source
0,0,original
1,0,original
2,0,original
3,0,original
4,0,original
5,0,original
6,0,original
7,0,original
8,0,original
9,0,original
10,0,original
11,0,original
12,0,original
13,0,original
14,0,original
15,0,original
16,0,original
17,0,original
18,0,original
19,0,original
20,0,original
21,0,original
22,0,original
23,0,original
24,0,original
25,0,original
26,0,original
27,0,original
28,0,original
29,0,original
30,0,original
31,0,original
32,0,original
33,0,original
34,0,original
35,0,original
36,2,original
37,0,original
38,2,original
39,2,original
40,2,original
41,0,original
42,0,original
43,0,original
44,0,original
45,0,original
46,0,original
47,0,original
48,2,original
49,0,original
50,0,original
51,0,original
52,0,original
53,2,original
54,2,original
55,2,original
56,2,original
57,2,original
58,2,original
59,2,original
60,2,original
61,2,original
62,0,original
63,0,original
64,0,original
65,0,original
66,1,original
67,0,original
68,0,original
69,0,original
70,0,original
71,0,original
72,0,original
73,0,original
74,0,original
75,0,original
76,0,original
77,0,original
78,0,original
79,0,original
80,0,original
81,0,original
82,0,original
83,0,original
84,0,original
85,0,original
86,0,original
87,0,original
88,0,original
89,0,original
90,0,original
91,0,original
92,0,original
93,0,original
94,0,original
95,0,original
96,0,original
97,0,original
98,0,original
99,0,original
100,0,original
101,0,original
102,0,original
103,0,original
104,0,original
105,1,original
106,1,original
107,0,original
108,1,original
109,1,original
110,1,original
111,1,original
112,1,original
113,1,original
114,2,original
115,2,original
116,0,original
117,2,original
118,2,original
119,2,original
120,2,original
121,2,original
122,0,original
123,1,original
124,1,original
125,1,original
126,1,original
127,1,original
128,1,original
129,1,original
130,0,original
131,1,original
132,1,original
133,1,original
134,1,original
135,1,original
136,1,original
137,1,original
138,1,original
139,1,original
140,0,original
141,1,original
142,1,original
143,1,original
144,1,original
145,1,original
146,1,original
147,1,original
148,0,original
149,0,original
150,0,original
151,0,original
152,0,original
153,0,original
154,0,original
155,0,original
156,0,original
157,1,original
158,0,original
159,1,original
160,1,original
161,0,original
162,0,original
163,0,original
164,1,original
165,0,original
166,0,original
167,0,original
168,1,original
169,1,original
170,1,original
171,1,original
172,2,original
173,1,original
174,1,original
175,1,original
176,1,original
177,1,original
178,1,original
179,1,original
180,1,original
181,1,original
182,1,original
183,1,original
184,1,original
185,1,original
186,1,original
187,1,original
188,1,original
189,1,original
190,1,original
191,1,original
192,1,original
193,1,original
194,1,original
195,1,original
196,1,original
197,1,original
198,1,original
199,1,original
200,1,original
201,0,original
202,1,original
203,0,original
204,0,original
205,1,original
206,0,original
207,0,original
208,1,original
209,1,original
210,1,original
211,1,original
212,1,original
213,1,original
214,1,original
215,1,original
216,0,original
217,0,original
218,0,original
219,0,original
220,0,original
221,0,original
222,0,original
223,0,original
224,0,original
225,1,original
226,1,original
227,1,original
228,1,original
229,1,original
230,1,original
231,1,original
232,0,original
233,0,original
234,1,original
235,0,original
236,1,original
237,0,original
238,2,original
239,0,original
240,1,original
241,1,original
242,1,original
243,1,original
244,1,original
245,0,original
246,1,original
247,0,original
248,1,original
249,1,original
250,1,original
251,1,original
252,1,original
253,1,original
254,1,original
255,0,original
256,0,original
257,0,original
258,0,original
259,0,original
260,0,original
261,0,original
262,0,original
263,0,original
264,1,original
265,0,original
266,1,original
267,1,original
268,0,original
269,1,original
270,0,original
271,0,original
272,1,original
273,1,original
274,0,original
275,0,original
276,0,original
277,0,original
278,1,original
279,1,original
280,1,original
281,1,original
282,1,original
283,1,original
284,2,original
285,2,original
286,2,original
287,2,original
288,2,original
289,1,original
290,1,original
291,1,original
292,1,original
293,1,original
294,1,original
295,1,original
296,1,original
297,1,original
298,2,original
299,2,original
300,2,original
301,2,original
302,2,original
303,1,original
304,1,original
305,1,original
306,1,original
307,1,original
308,1,original
309,1,original
310,1,original
311,1,original
312,1,original
313,1,original
314,1,original
315,1,original
316,1,original
317,1,original
318,1,original
319,2,original
320,2,original
321,0,original
322,0,original
323,0,original
324,0,original
325,0,original
326,0,original
327,0,original
328,0,original
329,0,original
330,0,original
331,0,original
332,0,original
333,0,original
334,0,original
335,0,original
336,0,original
337,0,original
338,0,original
339,0,original
340,0,original
341,0,original
342,0,original
343,0,original
344,0,original
345,0,original
346,0,original
347,0,original
348,0,original
349,0,original
350,1,original
351,1,original
352,1,original
353,1,original
354,1,original
355,1,original
356,1,original
357,1,original
358,1,original
359,1,original
360,1,original
361,1,original
362,1,original
363,1,original
364,1,original
365,0,original
366,0,original
367,0,original
368,0,original
369,0,original
370,0,original
371,0,original
372,0,original
373,0,original
374,0,original
375,0,original
376,0,original
377,0,original
378,0,original
379,0,original
380,0,original
381,0,original
382,0,original
383,0,original
384,0,original
385,0,original
386,0,original
387,0,original
388,0,original
389,0,original
390,0,original
391,1,original
392,0,original
393,0,original
394,0,original
395,0,original
396,0,original
397,1,original
398,0,original
399,0,original
400,0,original
401,0,original
402,0,original
403,0,original
404,0,original
405,0,original
406,1,original
407,0,original
408,1,original
409,1,original
410,2,original
411,2,original
412,0,original
413,0,original
414,2,original
415,0,original
416,0,original
417,1,original
418,1,original
419,1,original
420,1,original
421,1,original
422,1,original
423,1,original
424,0,original
425,0,original
426,0,original
427,0,original
428,0,original
429,0,original
430,0,original
431,0,original
432,0,original
433,0,original
434,0,original
435,0,original
436,0,original
437,0,original
438,0,original
439,0,original
440,0,original
441,0,original
442,0,original
443,0,original
444,0,original
445,0,original
446,0,original
447,0,original
448,0,original
449,0,original
450,0,original
451,0,original
452,0,original
453,0,original
454,0,original
455,0,original
456,0,original
457,0,original
458,0,original
459,0,original
460,0,original
461,0,original
462,0,original
463,0,original
464,0,original
465,0,original
466,0,original
467,0,original
468,0,original
469,0,original
470,0,original
471,0,original
472,1,original
473,0,original
474,2,original
475,2,original
476,1,original
477,1,original
478,1,original
479,0,original
480,2,original
481,2,original
482,2,original
483,2,original
484,0,original
485,0,original
486,0,original
487,2,original
488,2,original
489,2,original
490,0,original
491,2,original
492,2,original
493,0,original
494,1,original
495,0,original
496,2,original
497,2,original
498,2,original
499,0,original
500,2,original
501,2,original
502,2,original
503,2,original
504,2,original
505,2,original
506,2,original
507,2,original
508,0,original
509,0,original
510,0,original
511,0,original
512,0,original
513,0,original
514,0,original
515,0,original
516,0,original
517,0,original
518,0,original
519,0,original
520,0,original
521,0,original
522,0,original
523,0,original
524,0,original
525,0,original
526,0,original
527,0,original
528,0,original
529,0,original
530,0,original
531,0,original
532,0,original
533,0,original
534,0,original
535,0,original
536,0,original
537,0,original
538,0,original
539,0,original
540,0,original
541,0,original
542,0,original
543,0,original
544,0,original
545,0,original
546,0,original
547,0,original
548,0,original
549,0,original
550,0,original
551,0,original
552,0,original
553,0,original
554,0,original
555,0,original
556,0,original
557,0,original
558,2,original
559,1,original
560,1,original
561,2,original
562,1,original
563,0,original
564,1,original
565,1,original
566,1,original
567,1,original
568,2,original
569,1,original
570,1,original
571,0,original
572,0,original
573,0,original
574,2,original
575,0,original
576,0,original
577,0,original
578,0,original
579,0,original
580,0,original
581,0,original
582,0,original
583,0,original
584,0,original
585,0,original
586,0,original
587,0,original
588,0,original
589,0,original
590,0,original
591,0,original
592,0,original
593,0,original
594,0,original
595,0,original
596,2,original
597,2,original
598,0,original
599,0,original
600,0,original
601,0,original
602,0,original
603,0,original
604,0,original
605,0,original
606,0,original
607,0,original
608,0,original
609,0,original
610,2,original
611,2,original
612,2,original
613,2,original
614,2,original
615,0,original
616,2,original
617,2,original
618,2,original
619,2,original
620,2,original
621,2,original
622,2,original
623,0,original
624,2,original
625,2,original
626,2,original
627,2,original
628,2,original
629,2,original
630,2,original
631,2,original
632,0,original
633,0,original
634,2,original
635,0,original
636,2,original
637,0,original
638,2,original
639,2,original
640,2,original
641,2,original
642,2,original
643,0,original
644,0,original
645,0,original
646,0,original
647,0,original
648,0,original
649,0,original
650,0,original
651,2,original
652,2,original
653,2,original
654,0,original
655,0,original
656,0,original
657,0,original
658,0,original
659,0,original
660,0,original
661,0,original
662,0,original
663,0,original
664,0,original
665,0,original
666,0,original
667,0,original
668,0,original
669,0,original
670,0,original
671,0,original
672,0,original
673,0,original
674,0,original
675,0,original
676,0,original
677,0,original
678,0,original
679,0,original
680,0,original
681,0,original
682,0,original
683,0,original
684,0,original
685,0,original
686,0,original
687,0,original
688,0,original
689,0,original
690,0,original
691,0,original
692,0,original
693,0,original
694,0,original
695,0,original
696,0,original
697,0,original
698,0,original
699,0,original
700,0,original
701,0,original
702,0,original
703,0,original
704,0,original
705,0,original
706,0,original
707,0,original
708,0,original
709,0,original
710,0,original
711,0,original
712,0,original
713,0,original
714,0,original
715,0,original
716,0,original
717,0,original
718,0,original
719,0,original
720,0,original
721,0,original
722,0,original
723,0,original
724,0,original
725,0,original
726,0,original
727,0,original
728,0,original
729,0,original
730,0,original
731,0,original
732,0,original
733,0,original
734,0,original
735,0,original
736,0,original
737,0,original
738,0,original
739,0,original
740,0,original
741,0,original
742,1,original
743,1,original
744,1,original
745,1,original
746,0,original
747,0,original
748,1,original
749,1,original
750,1,original
751,1,original
752,1,original
753,1,original
754,1,original
755,1,original
756,1,original
757,1,original
758,0,original
759,0,original
760,0,original
761,0,original
762,0,original
763,0,original
764,0,original
765,0,original
766,1,original
767,0,original
768,0,original
769,0,original
770,0,original
771,0,original
772,0,original
773,0,original
774,0,original
775,0,original
776,0,original
777,0,original
778,0,original
779,0,original
780,0,original
781,0,original
782,0,original
783,0,original
784,0,original
785,0,original
786,0,original
787,0,original
788,0,original
789,0,original
790,0,original
791,0,original
792,0,original
793,0,original
794,0,original
795,0,original
796,0,original
797,0,original
798,0,original
799,0,original
800,0,original
801,0,original
802,2,original
803,2,original
804,0,original
805,0,original
806,0,original
807,0,original
808,2,original
809,0,original
810,0,original
811,0,original
812,0,original
813,2,original
814,2,original
815,2,original
816,2,original
817,2,original
818,0,original
819,0,original
820,0,original
821,0,original
822,0,original
823,0,original
824,0,original
825,0,original
826,0,original
827,0,original
828,0,original
829,0,original
830,0,original
831,0,original
832,0,original
833,2,original
834,2,original
835,2,original
836,2,original
837,2,original
838,0,original
839,2,original
840,0,original
841,0,original
842,0,original
843,0,original
844,2,original
845,0,original
846,0,original
847,0,original
848,0,original
849,0,original
850,0,original
851,0,original
852,0,original
853,0,original
854,0,original
855,0,original
856,0,original
857,0,original
858,0,original
859,0,original
860,0,original
861,2,original
862,2,original
863,2,original
864,2,original
865,2,original
866,2,original
867,0,original
868,2,original
869,2,original
870,2,original
871,2,original
872,2,original
873,2,original
874,0,original
875,0,original
876,0,original
877,0,original
878,0,original
879,0,original
880,0,original
881,0,original
882,0,original
883,0,original
884,0,original
885,0,original
886,0,original
887,0,original
888,0,original
889,0,original
890,0,original
891,0,original
892,0,original
893,0,original
894,0,original
895,0,original
896,0,original
897,0,original
898,2,original
899,0,original
900,0,original
901,0,original
902,0,original
903,0,original
904,0,original
905,0,original
906,0,original
907,0,original
908,0,original
909,1,original
910,0,original
911,1,original
912,0,original
913,0,original
914,0,original
915,0,original
916,0,original
917,0,original
918,0,original
919,0,original
920,0,original
921,0,original
922,0,original
923,0,original
924,0,original
925,0,original
926,0,original
927,0,original
928,1,original
929,0,original
930,1,original
931,0,original
932,1,original
933,0,original
934,1,original
935,0,original
936,1,original
937,1,original
938,0,original
939,0,original
940,1,original
941,0,original
942,1,original
943,1,original
944,1,original
945,1,original
946,0,original
947,0,original
948,0,original
949,0,original
950,1,original
951,0,original
952,2,original
953,1,original
954,1,original
955,1,original
956,1,original
957,1,original
958,1,original
959,1,original
960,1,original
961,1,original
